City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Senigallia,IT,51.01,clear sky,43.7093,13.2167,Hotel Universal
99,Mareeba,AU,75.2,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
102,Matsuura,JP,57.0,broken clouds,33.3271,129.721,山福旅館
103,Saint-Leu,RE,78.8,clear sky,-21.15,55.2833,La Caz Oceane
106,Coihaique,CL,60.8,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
110,Port Alfred,ZA,65.46,clear sky,-33.5906,26.891,The Halyards Hotel
111,Ilo,PE,73.26,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
113,Souris,CA,57.99,scattered clouds,49.6172,-100.2612,The Souris Hotel
115,Cape Town,ZA,69.01,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
116,Lalibela,ET,65.16,scattered clouds,12.0333,39.0333,Honey Land Hotel Lalibela
117,Joshimath,IN,50.95,broken clouds,30.5667,79.5667,Shivalik Camps & Resort
120,Erzin,TR,60.01,clear sky,36.9559,36.2,Artemis Otel
121,Tuatapere,NZ,57.0,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
129,Bubaque,GW,75.69,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
134,Adeje,ES,68.0,broken clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
136,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
139,La Esperanza,GT,73.4,few clouds,14.8667,-91.5667,Hotel Imperio Inn
143,Chuy,UY,74.1,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
144,Cortez,US,73.4,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
146,Naliya,IN,79.54,clear sky,23.2667,68.8333,Hotel Panchvati
148,Chimore,BO,74.17,overcast clouds,-16.9833,-65.1333,Bichito
149,Buala,SB,79.65,light rain,-8.145,159.5921,Maringe Lagoon Lodge
150,Shangrao,CN,54.59,broken clouds,28.4532,117.9686,Boyue boutique Hotel
151,Lata,PT,64.4,clear sky,40.1629,-8.3327,Casa Maquia
154,Mazara Del Vallo,IT,59.0,clear sky,37.6641,12.588,Vizier Resort & Spa
155,Marsala,IT,59.0,clear sky,37.7966,12.4352,Villa Favorita Hotel e Resort
156,Voh,NC,71.67,broken clouds,-20.9667,164.7,Le gîte du Koniambo
158,Mount Gambier,AU,57.2,broken clouds,-37.8333,140.7667,Commodore on the Park
161,Ribeira Grande,PT,62.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
168,Mar Del Plata,AR,73.4,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
170,Te Anau,NZ,54.03,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
172,Sakakah,SA,68.0,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
173,Richards Bay,ZA,65.95,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
175,Ribeira Brava,PT,63.0,overcast clouds,32.65,-17.0667,Hotel do Campo
177,Patiya,BD,71.8,heavy intensity rain,22.2931,91.9762,R Village
178,Saldanha,ZA,68.0,clear sky,-33.0117,17.9442,Blue Bay Lodge
179,Namibe,AO,78.51,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
181,Marsa Matruh,EG,69.8,clear sky,31.3525,27.2453,Beau Site
182,Hasaki,JP,64.4,light rain,35.7333,140.8333,Hotel Sunrise Choshi
184,Najran,SA,73.4,dust,17.4924,44.1277,محمد هادي ال فطيح
185,Dharchula,IN,58.35,clear sky,29.85,80.5333,Mahara Hotel
186,Mallig,PH,72.77,clear sky,17.1411,121.6831,JOWARD Guest House
187,Babol,IR,55.71,clear sky,36.5513,52.678999999999995,Reza Hotel
188,Ahipara,NZ,58.51,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
189,Mangualde,PT,54.39,clear sky,40.6043,-7.7612,Hotel Senhora do Castelo
190,Laguna,US,62.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
191,Thunder Bay,CA,50.0,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
194,Lompoc,US,62.01,scattered clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
200,Bundaberg,AU,71.6,overcast clouds,-24.85,152.35,Takalvan Motel
201,Asfi,MA,61.97,clear sky,32.2994,-9.2372,Hôtel Abda
203,Rutland,US,52.0,clear sky,43.6167,-73.0162,Comfort Inn Trolley Square
205,Tagusao,PH,78.06,overcast clouds,9.1924,117.8141,Toledo
212,Somerset,US,64.4,broken clouds,40.5668,-74.5496,Hilton Garden Inn Bridgewater
213,Naze,JP,62.65,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
214,Newport,GB,50.0,scattered clouds,51.5877,-2.9984,ibis budget Newport
215,Noumea,NC,68.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
216,Cidreira,BR,75.0,clear sky,-30.1811,-50.2056,Hotel Castelo
218,Altamont,US,59.0,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
221,Airai,TL,60.6,light rain,-8.9266,125.4092,Juvinal Martin
222,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
223,Mossendjo,CG,71.37,light rain,-2.9506,12.7261,HOTEL D'ASSISE
225,Hami,CN,51.12,broken clouds,42.8,93.45,Laoyutang Resort
235,Sola,VU,79.7,light rain,-13.8833,167.55,Leumerus Bungalows
236,Palafrugell,ES,63.0,clear sky,41.9174,3.1631,Hotel La Torre
245,Cairns,AU,75.2,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
247,Molepolole,BW,73.4,clear sky,-24.4066,25.4951,Butterfly Tree Guesthouse
251,Laureles,US,78.01,clear sky,26.1092,-97.4941,Los Fresnos Inn
252,Biloela,AU,69.44,overcast clouds,-24.4167,150.5,Silo Motor Inn
254,Jiangkou,CN,60.8,overcast clouds,25.4872,119.1986,DFM Hotel
260,Inhambane,MZ,73.4,clear sky,-23.865,35.3833,Oceano
264,Sungaipenuh,ID,62.62,heavy intensity rain,-2.0833,101.3833,Hotel Jaya Wisata 2
268,Ifakara,TZ,72.63,light rain,-8.1333,36.6833,Tanzanian Training Centre for International Health
270,Coquimbo,CL,64.4,overcast clouds,-29.9533,-71.3436,Punto de encuentro
